index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
27196,256,256,0,3083.1978,123.5674,0.0000,255.0000,75.2606,14449,1.0000
27197,256,256,0,1867.4370,154.9261,0.0000,255.0000,55.4855,15018,1.0000
27198,256,256,0,2277.7603,108.1346,0.0000,255.0000,71.5908,15021,1.0000
27199,256,256,0,1418.7841,106.8051,0.0000,255.0000,47.7030,13620,1.0000
27200,256,256,0,3820.3137,128.7028,0.0000,255.0000,64.3923,19215,1.0000
27201,256,256,0,1641.4844,109.3602,0.0000,255.0000,51.4095,14666,1.0000
27202,256,256,0,4148.5962,130.9596,0.0000,255.0000,76.2689,18836,1.0000
27203,256,256,0,457.9678,104.4073,4.0000,255.0000,59.8804,10302,0.9691
27204,256,256,0,2639.3013,118.4030,0.0000,255.0000,75.8708,18298,1.0000
27205,256,256,0,1269.2675,140.3240,0.0000,252.0000,83.4891,10176,1.0000
27206,256,256,0,2158.3308,83.0918,0.0000,255.0000,53.6242,17242,1.0000
27207,256,256,0,1557.0044,112.8802,0.0000,255.0000,67.5250,14356,1.0000
27208,256,256,0,1359.9867,133.2019,0.0000,255.0000,68.2568,14158,1.0000
27209,256,256,0,1756.9688,88.9098,0.0000,255.0000,49.1001,11318,1.0000
27210,256,256,0,4233.7100,164.3314,0.0000,255.0000,67.6496,20801,1.0000
27211,256,256,0,3175.3584,118.6389,0.0000,255.0000,55.5056,16143,1.0000
27212,256,256,0,2110.4954,93.9659,0.0000,255.0000,65.6424,15746,1.0000
27213,256,256,0,566.5925,33.0410,0.0000,255.0000,51.0771,7135,1.0000
27214,256,256,0,1681.3441,117.5637,0.0000,255.0000,52.9882,15680,1.0000
27215,256,256,0,2316.4927,102.6646,0.0000,255.0000,72.3811,14629,1.0000
27216,256,256,0,1501.6787,40.7953,0.0000,255.0000,47.1472,14946,1.0000
27217,256,256,0,412.7801,129.3524,0.0000,255.0000,68.3293,10167,1.0000
27218,256,256,0,1057.5869,161.2652,0.0000,255.0000,34.7367,13773,1.0000
27219,256,256,0,1624.7366,138.9565,0.0000,255.0000,82.7937,13611,1.0000
27220,256,256,0,2702.9973,112.9615,0.0000,255.0000,58.8318,16319,1.0000
27221,256,256,0,1437.2291,104.0985,0.0000,255.0000,74.4245,14003,1.0000
27222,256,256,0,2010.1101,119.7441,0.0000,255.0000,69.5756,16610,1.0000
27223,256,256,0,2029.2158,137.0128,0.0000,255.0000,75.1409,13606,1.0000
27224,256,256,0,1335.3959,103.7324,3.0000,255.0000,47.4100,12435,0.9767
27225,256,256,0,914.3553,105.1005,0.0000,255.0000,42.1682,11427,1.0000
27226,256,256,0,2756.6172,108.8729,0.0000,255.0000,81.1770,16125,1.0000
27227,256,256,0,2158.7979,84.7044,0.0000,255.0000,67.9692,15049,1.0000
27228,256,256,0,1820.1321,125.0801,0.0000,255.0000,38.2733,15452,1.0000
27229,256,256,0,3374.2588,160.6719,0.0000,255.0000,45.3827,17649,1.0000
27230,256,256,0,418.5196,127.5834,0.0000,250.0000,51.3555,8371,1.0000
27231,256,256,0,2063.2908,128.1827,0.0000,255.0000,65.1070,16842,1.0000
27232,256,256,0,1549.4352,131.7516,0.0000,255.0000,60.7449,14402,1.0000
27233,256,256,0,144.5974,151.6826,12.0000,217.0000,47.6932,3922,0.8952
27234,256,256,0,6156.9160,115.7763,0.0000,255.0000,73.1230,21917,1.0000
27235,256,256,0,1193.5021,151.3750,0.0000,255.0000,64.2535,11947,1.0000
27236,256,256,0,2235.5483,132.7224,0.0000,255.0000,71.4202,13760,1.0000
27237,256,256,0,2974.4243,158.4736,0.0000,255.0000,67.8893,18366,1.0000
27238,256,256,0,323.0314,217.1094,74.0000,255.0000,38.8073,5850,0.5502
27239,256,256,0,3529.1355,127.7956,0.0000,255.0000,55.6655,17919,1.0000
27240,256,256,0,2200.9302,110.7596,0.0000,255.0000,53.2248,16483,1.0000
27241,256,256,0,3435.6177,99.7134,0.0000,255.0000,75.4437,16380,1.0000
27242,256,256,0,2908.2717,114.8040,0.0000,255.0000,41.9594,16758,1.0000
27243,256,256,0,76.6222,46.4703,0.0000,218.0000,46.1686,6409,1.0000
27244,256,256,0,673.5293,108.4233,0.0000,255.0000,57.2757,12208,1.0000
27245,256,256,0,161.4198,117.4414,0.0000,255.0000,89.9417,6106,1.0000
27246,256,256,0,2228.9341,102.1790,0.0000,255.0000,60.6509,15432,1.0000
27247,256,256,0,690.0789,164.5798,0.0000,255.0000,40.5308,9090,1.0000
27248,256,256,0,180.3139,180.4497,0.0000,255.0000,29.9541,7256,1.0000
27249,256,256,0,1042.9524,133.4605,0.0000,253.0000,66.8160,8947,1.0000
27250,256,256,0,2106.9343,97.7033,0.0000,255.0000,52.8204,15743,1.0000
27251,256,256,0,1850.8317,71.3536,0.0000,255.0000,56.2538,10816,1.0000
27252,256,256,0,1865.5015,201.7076,0.0000,255.0000,65.2703,12637,1.0000
27253,256,256,0,2403.9167,122.5389,0.0000,255.0000,71.7386,14165,1.0000
27254,256,256,0,2921.7502,111.7634,0.0000,255.0000,67.0935,13988,1.0000
27255,256,256,0,3360.2434,51.8776,0.0000,255.0000,35.9475,17613,1.0000
27256,256,256,0,2929.2908,70.0072,0.0000,255.0000,82.5995,12298,1.0000
27257,256,256,0,1006.0685,78.4317,0.0000,255.0000,63.1999,12456,1.0000
27258,256,256,0,439.4463,135.4491,0.0000,238.0000,38.4226,11774,1.0000
27259,256,256,0,2082.9089,116.6525,0.0000,255.0000,83.2757,13862,1.0000
27260,256,256,0,462.7115,89.0207,0.0000,255.0000,40.0078,9354,1.0000
27261,256,256,0,1685.4045,147.3689,0.0000,255.0000,64.0135,14565,1.0000
27262,256,256,0,3361.3469,165.0758,0.0000,255.0000,61.1614,17012,1.0000
27263,256,256,0,2762.2292,57.5120,0.0000,255.0000,58.8849,12783,1.0000
27264,256,256,0,1732.0193,77.3625,0.0000,255.0000,62.8138,14897,1.0000
27265,256,256,0,986.6947,120.8639,0.0000,255.0000,56.8904,11343,1.0000
27266,256,256,0,4559.0034,140.4809,0.0000,255.0000,65.6608,16514,1.0000
27267,256,256,0,1493.7493,126.8780,0.0000,255.0000,71.7446,12868,1.0000
27268,256,256,0,999.7208,60.9311,0.0000,255.0000,48.5073,10084,1.0000
27269,256,256,0,1416.2286,62.6326,0.0000,255.0000,56.5317,10373,1.0000
27270,256,256,0,1153.5143,135.3489,0.0000,255.0000,72.8893,12810,1.0000
27271,256,256,0,2454.5833,126.1798,0.0000,255.0000,50.6763,14928,1.0000
27272,256,256,0,1144.3176,112.9590,0.0000,255.0000,39.3769,12795,1.0000
27273,256,256,0,2604.8018,115.6933,0.0000,255.0000,77.4353,16891,1.0000
27274,256,256,0,1873.0518,159.3690,0.0000,255.0000,63.5228,15858,1.0000
27275,256,256,0,1678.1997,96.3958,0.0000,255.0000,51.0754,14633,1.0000
27276,256,256,0,945.2141,159.4562,0.0000,255.0000,72.0626,11143,1.0000
27277,256,256,0,2988.9358,111.6542,0.0000,255.0000,65.8747,19261,1.0000
27278,256,256,0,6010.7349,148.6536,0.0000,255.0000,74.2386,19046,1.0000
27279,256,256,0,1775.9894,123.6044,0.0000,255.0000,59.4537,16316,1.0000
27280,256,256,0,2715.6516,102.7564,0.0000,255.0000,72.9722,14884,1.0000
27281,256,256,0,1636.3569,144.0964,0.0000,255.0000,58.4315,12019,1.0000
27282,256,256,0,3961.2715,117.7146,0.0000,255.0000,68.9940,17277,1.0000
27283,256,256,0,2904.2798,85.7220,0.0000,255.0000,34.5290,19131,1.0000
27284,256,256,0,2536.7573,95.3362,0.0000,255.0000,68.3174,17393,1.0000
27285,256,256,0,797.4348,120.0693,0.0000,255.0000,69.8556,12394,1.0000
27286,256,256,0,1853.8623,157.9749,0.0000,255.0000,51.1527,12474,1.0000
27287,256,256,0,1317.3517,152.2559,0.0000,255.0000,62.0295,10410,1.0000
27288,256,256,0,1429.7074,68.8516,0.0000,255.0000,36.7402,11249,1.0000
27289,256,256,0,3689.0605,137.3530,0.0000,255.0000,41.5643,19522,1.0000
