from,to,distance
images/images/art and culture/401 (2).jpg,images/images/architecure/3119900017_62ee264403_n.jpg,0.714602
images/images/travel and  adventure/Places365_val_00006683.jpg,images/images/travel and  adventure/Places365_val_00010719.jpg,0.714587
images/images/food and d rinks/4Jk4nbJIMDZ4j2NRsarh.jpg,images/images/travel and  adventure/Places365_val_00014121.jpg,0.714586
images/images/art and culture/i - 949.jpeg,images/images/travel and  adventure/Places365_val_00012222.jpg,0.714584
images/images/food and d rinks/447 (2).jpg,images/images/food and d rinks/202 (2).jpg,0.714578
images/images/travel and  adventure/Places365_val_00009903.jpg,images/images/travel and  adventure/Places365_val_00013805.jpg,0.714573
images/images/travel and  adventure/Places365_val_00009581.jpg,images/images/travel and  adventure/Places365_val_00008473.jpg,0.714570
images/images/travel and  adventure/Places365_val_00008341.jpg,images/images/travel and  adventure/Places365_val_00008675.jpg,0.714568
images/images/architecure/4363490008_ff8483f815.jpg,images/images/architecure/2435275971_c6a58694c5_m.jpg,0.714547
images/images/art and culture/i - 876.jpeg,images/images/art and culture/i - 1274.jpeg,0.714537
images/images/travel and  adventure/Places365_val_00007367.jpg,images/images/travel and  adventure/Places365_val_00006350.jpg,0.714532
images/images/travel and  adventure/Places365_val_00005811.jpg,images/images/travel and  adventure/Places365_val_00014485.jpg,0.714501
images/images/travel and  adventure/Places365_val_00007414.jpg,images/images/travel and  adventure/Places365_val_00007028.jpg,0.714479
images/images/travel and  adventure/Places365_val_00012754.jpg,images/images/travel and  adventure/Places365_val_00012202.jpg,0.714476
images/images/967719295_3257695095.jpg.jpg,images/images/travel and  adventure/Places365_val_00006721.jpg,0.714474
images/images/travel and  adventure/Places365_val_00008749.jpg,images/images/travel and  adventure/Places365_val_00010160.jpg,0.714430
images/images/travel and  adventure/Places365_val_00007646.jpg,images/images/art and culture/276 (2).jpg,0.714420
images/images/travel and  adventure/Places365_val_00009623.jpg,images/images/travel and  adventure/Places365_val_00009900.jpg,0.714419
images/images/art and culture/647.jpg,images/images/art and culture/57.png,0.714405
images/images/travel and  adventure/Places365_val_00014529.jpg,images/images/travel and  adventure/Places365_val_00012412.jpg,0.714402
images/images/art and culture/12 (5).jpg,images/images/art and culture/564 (6).jpg,0.714400
images/images/art and culture/73 (6).jpg,images/images/art and culture/325 (2).jpg,0.714368
images/images/food and d rinks/337 (2).jpg,images/images/food and d rinks/314 (2).jpg,0.714344
images/images/food and d rinks/zJFOUYzAvpX0Y6dYfnz2.png,images/images/art and culture/230 (8).jpg,0.714337
images/images/travel and  adventure/Places365_val_00010896.jpg,images/images/travel and  adventure/Places365_val_00007818.jpg,0.714335
images/images/food and d rinks/lPVPcnOAIi3cLAt5lx0d.png,images/images/food and d rinks/279.jpg,0.714322
images/images/travel and  adventure/Places365_val_00008245.jpg,images/images/travel and  adventure/Places365_val_00008608.jpg,0.714311
images/images/travel and  adventure/Places365_val_00008608.jpg,images/images/travel and  adventure/Places365_val_00008245.jpg,0.714311
images/images/travel and  adventure/Places365_val_00013023.jpg,images/images/travel and  adventure/Places365_val_00006755.jpg,0.714275
images/images/art and culture/88 (6).jpg,images/images/art and culture/740 (3).jpg,0.714268
images/images/travel and  adventure/Places365_val_00014233.jpg,images/images/travel and  adventure/Places365_val_00011918.jpg,0.714236
images/images/travel and  adventure/Places365_val_00014461.jpg,images/images/travel and  adventure/Places365_val_00010761.jpg,0.714224
images/images/art and culture/i - 1454.jpeg,images/images/art and culture/i - 1255.jpeg,0.714221
images/images/travel and  adventure/Places365_val_00009741.jpg,images/images/travel and  adventure/Places365_val_00009865.jpg,0.714216
images/images/food and d rinks/fPvHxpC1edIgah2GD5FY.jpeg,images/images/food and d rinks/354 (3).jpg,0.714212
images/images/food and d rinks/PSgM85QegOyyQQzJgUGc.jpg,images/images/food and d rinks/6CPANYfwy3KWxNBtbYTA.jpg,0.714189
images/images/art and culture/45 (5).jpg,images/images/art and culture/294 (6).jpg,0.714180
images/images/travel and  adventure/Places365_val_00010657.jpg,images/images/travel and  adventure/Places365_val_00012827.jpg,0.714165
images/images/travel and  adventure/Places365_val_00007416.jpg,images/images/art and culture/i - 1177.jpeg,0.714139
images/images/travel and  adventure/Places365_val_00007045.jpg,images/images/travel and  adventure/Places365_val_00014194.jpg,0.714119
images/images/travel and  adventure/Places365_val_00013867.jpg,images/images/architecure/4299103774_220edef4a1_n.jpg,0.714091
images/images/art and culture/358 (2).jpg,images/images/art and culture/726 (2).jpg,0.714078
images/images/art and culture/1386.jpg,images/images/art and culture/0859.jpg,0.714056
images/images/travel and  adventure/Places365_val_00012655.jpg,images/images/art and culture/267 (2).jpg,0.714022
images/images/travel and  adventure/Places365_val_00009528.jpg,images/images/art and culture/361 (3).jpg,0.714008
images/images/art and culture/i - 824.jpeg,images/images/art and culture/i - 948.jpeg,0.714006
images/images/travel and  adventure/Places365_val_00013475.jpg,images/images/travel and  adventure/Places365_val_00008536.jpg,0.714005
images/images/travel and  adventure/Places365_val_00008902.jpg,images/images/art and culture/280 (4).jpg,0.713999
images/images/art and culture/i - 979.jpeg,images/images/travel and  adventure/Places365_val_00007080.jpg,0.713993
images/images/travel and  adventure/Places365_val_00007080.jpg,images/images/art and culture/i - 979.jpeg,0.713993
images/images/94232465_a135df2711.jpg.jpg,images/images/827941668_2e4ac6cb39.jpg.jpg,0.713991
images/images/travel and  adventure/Places365_val_00013308.jpg,images/images/travel and  adventure/Places365_val_00010907.jpg,0.713974
images/images/art and culture/321 (5).jpg,images/images/food and d rinks/78 (3).jpg,0.713972
images/images/art and culture/i - 1064.jpeg,images/images/food and d rinks/aOWJ6ZInoucdJDIAxRxy.jpg,0.713966
images/images/art and culture/2208.jpg,images/images/art and culture/2261.jpg,0.713955
images/images/art and culture/i - 951.jpeg,images/images/art and culture/i - 843.jpeg,0.713952
images/images/travel and  adventure/Places365_val_00011971.jpg,images/images/travel and  adventure/Places365_val_00006214.jpg,0.713946
images/images/food and d rinks/WD8kPSh6XOoc84Tvf2Lm.jpg,images/images/food and d rinks/161.png,0.713940
images/images/travel and  adventure/Places365_val_00007338.jpg,images/images/travel and  adventure/Places365_val_00011461.jpg,0.713936
images/images/travel and  adventure/Places365_val_00007288.jpg,images/images/travel and  adventure/Places365_val_00006674.jpg,0.713932
images/images/travel and  adventure/Places365_val_00010444.jpg,images/images/travel and  adventure/Places365_val_00009094.jpg,0.713911
images/images/travel and  adventure/Places365_val_00007527.jpg,images/images/travel and  adventure/Places365_val_00012390.jpg,0.713909
images/images/travel and  adventure/Places365_val_00014297.jpg,images/images/travel and  adventure/Places365_val_00007245.jpg,0.713896
images/images/travel and  adventure/Places365_val_00007045.jpg,images/images/travel and  adventure/Places365_val_00012373.jpg,0.713891
images/images/art and culture/i - 1179.jpeg,images/images/art and culture/i - 1510.jpeg,0.713887
images/images/art and culture/546 (9).jpg,images/images/art and culture/236 (8).jpg,0.713883
images/images/travel and  adventure/Places365_val_00012042.jpg,images/images/food and d rinks/cB7pWFTO6zDbIjzVtueK.jpg,0.713859
images/images/art and culture/i - 1455.jpeg,images/images/art and culture/i - 930.jpeg,0.713832
images/images/travel and  adventure/Places365_val_00006886.jpg,images/images/art and culture/1383.jpg,0.713828
images/images/art and culture/2186.jpg,images/images/food and d rinks/e5oFapOtrFW0BFS73Gd8.jpg,0.713819
images/images/travel and  adventure/Places365_val_00006045.jpg,images/images/travel and  adventure/Places365_val_00012061.jpg,0.713817
images/images/art and culture/i - 824.jpeg,images/images/travel and  adventure/Places365_val_00009067.jpg,0.713800
images/images/art and culture/436 (8).jpg,images/images/art and culture/612 (6).jpg,0.713799
images/images/travel and  adventure/Places365_val_00013846.jpg,images/images/travel and  adventure/Places365_val_00008808.jpg,0.713786
images/images/architecure/9297686347_01a848572a_m.jpg,images/images/architecure/12445324005_6f3715cbf4_m.jpg,0.713771
images/images/travel and  adventure/Places365_val_00006592.jpg,images/images/travel and  adventure/Places365_val_00009376.jpg,0.713771
images/images/travel and  adventure/Places365_val_00009549.jpg,images/images/travel and  adventure/Places365_val_00010026.jpg,0.713763
images/images/travel and  adventure/Places365_val_00014305.jpg,images/images/travel and  adventure/Places365_val_00009245.jpg,0.713746
images/images/art and culture/i - 1451.jpeg,images/images/art and culture/2056.jpg,0.713731
images/images/travel and  adventure/Places365_val_00007462.jpg,images/images/art and culture/331 (3).jpg,0.713712
images/images/travel and  adventure/Places365_val_00008823.jpg,images/images/art and culture/2334.jpg,0.713711
images/images/food and d rinks/442 (2).jpg,images/images/food and d rinks/7 (3).jpg,0.713707
images/images/food and d rinks/zb8FB6tEK1GKx16a4jVQ.jpg,images/images/food and d rinks/Q4G3IVG2zSQGHRu8WK8r.jpeg,0.713706
images/images/travel and  adventure/Places365_val_00005885.jpg,images/images/architecure/8914939648_fc2e6273fc_n.jpg,0.713676
images/images/travel and  adventure/Places365_val_00005967.jpg,images/images/travel and  adventure/Places365_val_00010557.jpg,0.713675
images/images/travel and  adventure/Places365_val_00010141.jpg,images/images/architecure/9244291412_a2862d7e25_n.jpg,0.713670
images/images/travel and  adventure/Places365_val_00008408.jpg,images/images/travel and  adventure/Places365_val_00011400.jpg,0.713667
images/images/travel and  adventure/Places365_val_00009187.jpg,images/images/art and culture/images (65).jpeg,0.713639
images/images/travel and  adventure/Places365_val_00007023.jpg,images/images/architecure/2462992374_f1407ae1d2_n.jpg,0.713634
images/images/food and d rinks/vBx6qITpZvkRcB5q5egj.jpg,images/images/food and d rinks/207 (3).jpg,0.713627
images/images/food and d rinks/YpmxPxtHI5x3RFYGN3hd.jpg,images/images/food and d rinks/dmRY3PsIQA1ilvhAdgAQ.jpg,0.713624
images/images/travel and  adventure/Places365_val_00010667.jpg,images/images/travel and  adventure/Places365_val_00012039.jpg,0.713623
images/images/travel and  adventure/Places365_val_00011146.jpg,images/images/travel and  adventure/Places365_val_00011872.jpg,0.713616
images/images/travel and  adventure/Places365_val_00009106.jpg,images/images/art and culture/193 (5).jpg,0.713611
images/images/art and culture/368 (5).jpg,images/images/art and culture/330.jpg,0.713609
images/images/travel and  adventure/Places365_val_00009519.jpg,images/images/travel and  adventure/Places365_val_00012511.jpg,0.713608
images/images/art and culture/2083.jpg,images/images/art and culture/2002.jpg,0.713591
images/images/travel and  adventure/Places365_val_00014208.jpg,images/images/travel and  adventure/Places365_val_00009909.jpg,0.713586
images/images/art and culture/695.png,images/images/art and culture/741 (3).jpg,0.713580
images/images/travel and  adventure/Places365_val_00008668.jpg,images/images/travel and  adventure/Places365_val_00010651.jpg,0.713546
images/images/food and d rinks/07sJuM0LWxPI4pIegWrx.jpg,images/images/food and d rinks/Mchr6mDQKpjNH8RrI5oT.jpg,0.713543
images/images/art and culture/505 (5).jpg,images/images/food and d rinks/246.jpg,0.713534
images/images/travel and  adventure/Places365_val_00006663.jpg,images/images/travel and  adventure/Places365_val_00013478.jpg,0.713507
images/images/art and culture/i - 1453.jpeg,images/images/travel and  adventure/Places365_val_00013194.jpg,0.713505
images/images/travel and  adventure/Places365_val_00007502.jpg,images/images/travel and  adventure/Places365_val_00009550.jpg,0.713494
images/images/travel and  adventure/Places365_val_00006460.jpg,images/images/travel and  adventure/Places365_val_00011651.jpg,0.713492
images/images/travel and  adventure/Places365_val_00013863.jpg,images/images/art and culture/681 (2).jpg,0.713490
images/images/travel and  adventure/Places365_val_00010392.jpg,images/images/food and d rinks/NgIHONvzguDZuk3GJbK6.jpg,0.713468
images/images/travel and  adventure/Places365_val_00009461.jpg,images/images/travel and  adventure/Places365_val_00013066.jpg,0.713462
images/images/travel and  adventure/Places365_val_00013066.jpg,images/images/travel and  adventure/Places365_val_00009461.jpg,0.713462
images/images/travel and  adventure/Places365_val_00007414.jpg,images/images/travel and  adventure/Places365_val_00007278.jpg,0.713452
images/images/art and culture/2130.jpg,images/images/travel and  adventure/Places365_val_00009805.jpg,0.713441
images/images/food and d rinks/73LJvKvPMuLwcdEBQwWI.jpg,images/images/food and d rinks/lqSh4PcBLlTGphaaqqdH.jpg,0.713440
images/images/travel and  adventure/Places365_val_00014375.jpg,images/images/travel and  adventure/Places365_val_00006034.jpg,0.713438
images/images/travel and  adventure/Places365_val_00006034.jpg,images/images/travel and  adventure/Places365_val_00014375.jpg,0.713438
images/images/art and culture/525 (2).jpg,images/images/art and culture/374.png,0.713433
images/images/travel and  adventure/Places365_val_00012692.jpg,images/images/travel and  adventure/Places365_val_00006084.jpg,0.713431
images/images/travel and  adventure/Places365_val_00008046.jpg,images/images/architecure/14000251631_b1b7399ace_m.jpg,0.713425
images/images/food and d rinks/WPVykRYvmli7Nw10oTWh.png,images/images/food and d rinks/R8bIDcF5YjPbqKtOK3sf.png,0.713402
images/images/travel and  adventure/Places365_val_00009913.jpg,images/images/architecure/4987065119_052b9f28c1_m.jpg,0.713399
images/images/art and culture/590 (2).jpg,images/images/art and culture/728 (2).jpg,0.713384
images/images/travel and  adventure/Places365_val_00009710.jpg,images/images/food and d rinks/Cq1MZFbLKaqYnDSl51tv.png,0.713379
images/images/1007320043_627395c3d8.jpg.jpg,images/images/travel and  adventure/Places365_val_00014224.jpg,0.713378
images/images/travel and  adventure/Places365_val_00010457.jpg,images/images/art and culture/i - 849.jpeg,0.713368
images/images/food and d rinks/WcnCqsnZhcwzqDmclbLQ.jpeg,images/images/food and d rinks/TUsPRyyGNQrxh8fzgXCa.jpg,0.713361
images/images/art and culture/253 (5).jpg,images/images/art and culture/556 (6).jpg,0.713355
images/images/food and d rinks/448 (2).jpg,images/images/food and d rinks/389 (3).jpg,0.713345
images/images/food and d rinks/389 (3).jpg,images/images/food and d rinks/448 (2).jpg,0.713345
images/images/architecure/2489230876_dd4c11d454.jpg,images/images/architecure/16249569175_708df7c613_m.jpg,0.713341
images/images/art and culture/12 (5).jpg,images/images/art and culture/291.jpg,0.713338
images/images/food and d rinks/eOPPCoNGF0vjixZDCjLK.jpg,images/images/travel and  adventure/Places365_val_00011933.jpg,0.713337
images/images/travel and  adventure/Places365_val_00013244.jpg,images/images/travel and  adventure/Places365_val_00008101.jpg,0.713313
images/images/art and culture/425 (6).jpg,images/images/art and culture/651 (6).jpg,0.713304
images/images/travel and  adventure/Places365_val_00013617.jpg,images/images/travel and  adventure/Places365_val_00008330.jpg,0.713299
images/images/art and culture/i - 1451.jpeg,images/images/art and culture/i - 991.jpeg,0.713292
images/images/art and culture/2207.jpg,images/images/travel and  adventure/Places365_val_00009823.jpg,0.713289
images/images/travel and  adventure/Places365_val_00009823.jpg,images/images/art and culture/2207.jpg,0.713289
images/images/travel and  adventure/Places365_val_00007728.jpg,images/images/travel and  adventure/Places365_val_00009744.jpg,0.713284
images/images/art and culture/i - 774.jpeg,images/images/travel and  adventure/Places365_val_00009244.jpg,0.713281
images/images/travel and  adventure/Places365_val_00011378.jpg,images/images/travel and  adventure/Places365_val_00011357.jpg,0.713280
images/images/art and culture/0006.jpg,images/images/art and culture/i - 1053.jpeg,0.713279
images/images/travel and  adventure/Places365_val_00014461.jpg,images/images/architecure/10089853843_dcfc02af28_n.jpg,0.713237
images/images/food and d rinks/402.jpg,images/images/art and culture/100 (3).jpg,0.713221
images/images/art and culture/i - 1449.jpeg,images/images/art and culture/i - 870.jpeg,0.713220
images/images/food and d rinks/zb8FB6tEK1GKx16a4jVQ.jpg,images/images/food and d rinks/BSXwtmXjO5blxTepiugk.jpg,0.713193
images/images/travel and  adventure/Places365_val_00012525.jpg,images/images/travel and  adventure/Places365_val_00005897.jpg,0.713193
images/images/food and d rinks/jrJnmaJklD0G1CRDCMHX.png,images/images/food and d rinks/NuIMAXDnDKsACMmF3pVd.png,0.713185
images/images/art and culture/639 (4).jpg,images/images/art and culture/192 (4).jpg,0.713176
images/images/travel and  adventure/Places365_val_00006054.jpg,images/images/travel and  adventure/Places365_val_00008709.jpg,0.713174
images/images/travel and  adventure/Places365_val_00010479.jpg,images/images/travel and  adventure/Places365_val_00011305.jpg,0.713161
images/images/travel and  adventure/Places365_val_00011551.jpg,images/images/travel and  adventure/Places365_val_00013895.jpg,0.713157
images/images/travel and  adventure/Places365_val_00009131.jpg,images/images/travel and  adventure/Places365_val_00008499.jpg,0.713156
images/images/art and culture/655 (6).jpg,images/images/art and culture/368 (6).jpg,0.713138
images/images/art and culture/709 (2).jpg,images/images/art and culture/695.png,0.713134
images/images/art and culture/695.png,images/images/art and culture/709 (2).jpg,0.713134
images/images/travel and  adventure/Places365_val_00006642.jpg,images/images/art and culture/637 (9).jpg,0.713126
images/images/travel and  adventure/Places365_val_00011399.jpg,images/images/travel and  adventure/Places365_val_00008100.jpg,0.713113
images/images/travel and  adventure/Places365_val_00006928.jpg,images/images/travel and  adventure/Places365_val_00013317.jpg,0.713089
images/images/travel and  adventure/Places365_val_00006427.jpg,images/images/travel and  adventure/Places365_val_00008770.jpg,0.713081
images/images/food and d rinks/5PHKPGvoKxe5t8Aa7Yzs.jpeg,images/images/food and d rinks/365 (3).jpg,0.713073
images/images/architecure/222680065_c4d7fb144a.jpg,images/images/architecure/12905748763_65e95e82f8.jpg,0.713069
images/images/architecure/2209792902_61b3db4db6.jpg,images/images/architecure/26764616800_72ef3f51cb_m.jpg,0.713053
images/images/food and d rinks/2j1BJP3Dae8DiSaErDHA.png,images/images/food and d rinks/2PYjqyEP1X0jWKIhYNgh.jpeg,0.713049
images/images/travel and  adventure/Places365_val_00012101.jpg,images/images/art and culture/649.jpg,0.713041
images/images/travel and  adventure/Places365_val_00006798.jpg,images/images/travel and  adventure/Places365_val_00009785.jpg,0.713021
