component_id,mean,sum,count,min,max
4059,3.547763,4.000000,0.886941,0.884449,0.889433
4074,2.000000,2.000000,1.000000,1.000000,1.000000
4075,0.884679,1.000000,0.884679,0.884679,0.884679
4112,1.812503,2.000000,0.906251,0.906251,0.906251
4118,1.999999,2.000000,1.000000,1.000000,1.000000
4131,1.803554,2.000000,0.901777,0.901777,0.901777
4159,1.867080,2.000000,0.933540,0.933540,0.933540
4160,1.929370,2.000000,0.964685,0.964685,0.964685
4177,1.775737,2.000000,0.887869,0.887869,0.887869
4189,1.802350,2.000000,0.901175,0.901175,0.901175
4190,1.763655,2.000000,0.881827,0.881827,0.881827
4202,1.779357,2.000000,0.889678,0.889678,0.889678
4218,3.564833,4.000000,0.891208,0.887782,0.894634
4244,1.782902,2.000000,0.891451,0.891451,0.891451
4260,1.768377,2.000000,0.884188,0.884188,0.884188
4274,1.783768,2.000000,0.891884,0.891884,0.891884
4284,0.891658,1.000000,0.891658,0.891658,0.891658
4295,5.448046,6.000000,0.908008,0.887843,0.922534
4309,1.821580,2.000000,0.910790,0.910790,0.910790
4317,1.853598,2.000000,0.926799,0.926799,0.926799
4331,2.000000,2.000000,1.000000,1.000000,1.000000
4332,6.288409,7.000000,0.898344,0.884367,0.924379
4333,1.821002,2.000000,0.910501,0.910501,0.910501
4335,1.778690,2.000000,0.889345,0.889345,0.889345
4341,2.000000,2.000000,1.000000,1.000000,1.000000
4352,1.833810,2.000000,0.916905,0.916905,0.916905
4354,7.437936,8.000000,0.929742,0.888394,0.944382
4358,3.564342,4.000000,0.891085,0.885647,0.896524
4359,1.800060,2.000000,0.900030,0.900030,0.900030
4361,1.789534,2.000000,0.894767,0.894767,0.894767
4362,0.885893,1.000000,0.885893,0.885893,0.885893
4365,0.903690,1.000000,0.903690,0.903690,0.903690
4374,0.881250,1.000000,0.881250,0.881250,0.881250
4375,1.926396,2.000000,0.963198,0.963198,0.963198
4379,8.179166,9.000000,0.908796,0.886783,0.959976
4393,1.775380,2.000000,0.887690,0.887690,0.887690
4394,5.402418,6.000000,0.900403,0.893153,0.910198
4400,2.000000,2.000000,1.000000,1.000000,1.000000
4401,1.764006,2.000000,0.882003,0.882003,0.882003
4409,2.000000,2.000000,1.000000,1.000000,1.000000
4412,1.779109,2.000000,0.889555,0.889555,0.889555
4420,2.000000,2.000000,1.000000,1.000000,1.000000
4455,1.820088,2.000000,0.910044,0.910044,0.910044
4467,1.760390,2.000000,0.880195,0.880195,0.880195
4483,5.528397,6.000000,0.921400,0.905161,0.939539
4489,2.000000,2.000000,1.000000,1.000000,1.000000
4497,2.000000,2.000000,1.000000,1.000000,1.000000
4526,1.760186,2.000000,0.880093,0.880093,0.880093
4530,5.393421,6.000000,0.898904,0.887464,0.919426
4556,0.884042,1.000000,0.884042,0.884042,0.884042
4557,5.328401,6.000000,0.888067,0.882875,0.891988
4567,1.839596,2.000000,0.919798,0.919798,0.919798
4577,0.900273,1.000000,0.900273,0.900273,0.900273
4596,0.888039,1.000000,0.888039,0.888039,0.888039
4617,1.839793,2.000000,0.919897,0.919897,0.919897
4622,1.763678,2.000000,0.881839,0.881839,0.881839
4678,1.863407,2.000000,0.931704,0.931704,0.931704
4693,1.906320,2.000000,0.953160,0.953160,0.953160
4696,1.856504,2.000000,0.928252,0.928252,0.928252
4706,1.782941,2.000000,0.891471,0.891471,0.891471
4713,1.876020,2.000000,0.938010,0.938010,0.938010
4727,1.999999,2.000000,1.000000,1.000000,1.000000
4732,1.830713,2.000000,0.915356,0.915356,0.915356
4748,1.793759,2.000000,0.896880,0.896880,0.896880
4795,5.876471,6.000000,0.979412,0.969118,1.000000
4802,1.977319,2.000000,0.988660,0.988660,0.988660
4808,1.845105,2.000000,0.922552,0.922552,0.922552
4823,5.431568,6.000000,0.905261,0.891757,0.918966
4824,1.869207,2.000000,0.934604,0.934604,0.934604
4828,8.250548,9.000000,0.916728,0.902052,0.925421
4844,1.840963,2.000000,0.920482,0.920482,0.920482
4880,1.863383,2.000000,0.931692,0.931692,0.931692
4885,1.839755,2.000000,0.919877,0.919877,0.919877
4891,5.463750,6.000000,0.910625,0.881471,0.958254
4892,1.960152,2.000000,0.980076,0.980076,0.980076
4901,1.776780,2.000000,0.888390,0.888390,0.888390
4906,1.805056,2.000000,0.902528,0.902528,0.902528
4939,1.828277,2.000000,0.914138,0.914138,0.914138
4948,3.626507,4.000000,0.906627,0.880542,0.932712
4951,1.844535,2.000000,0.922267,0.922267,0.922267
4978,1.999999,2.000000,1.000000,1.000000,1.000000
4987,6.645304,7.000000,0.949329,0.895164,0.961581
4992,2.741549,3.000000,0.913850,0.885885,0.927832
4994,2.000000,2.000000,1.000000,1.000000,1.000000
5000,1.962746,2.000000,0.981373,0.981373,0.981373
5006,1.923929,2.000000,0.961964,0.961964,0.961964
5047,1.788962,2.000000,0.894481,0.894481,0.894481
5050,0.881752,1.000000,0.881752,0.881752,0.881752
5064,1.804059,2.000000,0.902029,0.902029,0.902029
10320,1.954813,2.000000,0.977407,0.977407,0.977407
10332,1.764212,2.000000,0.882106,0.882106,0.882106
10336,1.989658,2.000000,0.994829,0.994829,0.994829
10397,1.901125,2.000000,0.950563,0.950563,0.950563
10407,2.000000,2.000000,1.000000,1.000000,1.000000
10408,1.852097,2.000000,0.926048,0.926048,0.926048
10410,1.922404,2.000000,0.961202,0.961202,0.961202
10439,1.890008,2.000000,0.945004,0.945004,0.945004
10441,1.874483,2.000000,0.937242,0.937242,0.937242
10442,5.822735,6.000000,0.970456,0.955684,0.999999
10529,1.910328,2.000000,0.955164,0.955164,0.955164
10535,1.827749,2.000000,0.913875,0.913875,0.913875
10545,2.000000,2.000000,1.000000,1.000000,1.000000
10571,1.779308,2.000000,0.889654,0.889654,0.889654
10581,1.834412,2.000000,0.917206,0.917206,0.917206
10587,1.762756,2.000000,0.881378,0.881378,0.881378
10592,1.788269,2.000000,0.894135,0.894135,0.894135
10603,2.000000,2.000000,1.000000,1.000000,1.000000
10616,1.813090,2.000000,0.906545,0.906545,0.906545
10652,1.768220,2.000000,0.884110,0.884110,0.884110
10707,1.793937,2.000000,0.896968,0.896968,0.896968
10738,1.797113,2.000000,0.898557,0.898557,0.898557
10741,1.862513,2.000000,0.931256,0.931256,0.931256
10751,3.577489,4.000000,0.894372,0.882196,0.906549
10767,1.945750,2.000000,0.972875,0.972875,0.972875
10771,1.931934,2.000000,0.965967,0.965967,0.965967
10804,1.761396,2.000000,0.880698,0.880698,0.880698
10852,1.807754,2.000000,0.903877,0.903877,0.903877
10875,7.722505,8.000000,0.965313,0.931228,0.999958
10877,1.882529,2.000000,0.941264,0.941264,0.941264
10899,1.768449,2.000000,0.884225,0.884225,0.884225
10917,1.793175,2.000000,0.896588,0.896588,0.896588
10986,1.961696,2.000000,0.980848,0.980848,0.980848
10990,1.794880,2.000000,0.897440,0.897440,0.897440
10992,5.398772,6.000000,0.899795,0.889639,0.904946
11039,1.774977,2.000000,0.887489,0.887489,0.887489
11090,1.776829,2.000000,0.888415,0.888415,0.888415
11115,1.762567,2.000000,0.881284,0.881284,0.881284
11139,1.800464,2.000000,0.900232,0.900232,0.900232
