from,to,distance
images/images/architecure/11467123696_1991202532_m.jpg,images/images/architecure/9376489868_bd7b08ef8b_m.jpg,1.000000
images/images/art and culture/0969.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/0969.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/0970.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/0970.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/0972.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/0972.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/0974.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/0974.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/0922.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1995.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/1995.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/1994.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/1994.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/architecure/11467039364_de15750cda_n.jpg,images/images/architecure/9425952263_931a508e3b_n.jpg,1.000000
images/images/art and culture/0988.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/2320.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/0988.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/0990.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/0990.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/0847.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/0843.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/architecure/4485594488_dfab5aaf8d_m.jpg,images/images/architecure/4881443862_0bef2bc49d_m.jpg,1.000000
images/images/art and culture/0843.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/0844.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/0844.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/0845.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/0845.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/2324.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/2324.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/architecure/120px-¥sterlars_kirke_Bornholm_stitched_2.jpg,images/images/architecure/120px-�sterlars_kirke_Bornholm_stitched_2.jpg,1.000000
